Fecha,Cód.Art. Ripley,UPC,Desc.Art. Ripley,Cód.Art.Prov. (Case Pack),Desc.Art.Prov.(Case Pack),Sucursal,Venta (u),Venta ($),Costo De Venta($),Mark-up,Marca,Temp.,Unnamed: 13,Unnamed: 14,Unnamed: 15
15-07-2025,40104143,,ESCOBA INALAMBRICA KARCHER KB5,4054278974750,ESCOBA INALAMBRICA KARCHER KB5,Internet,8,369.681,449.524,82,KARCHER,TODA TEMPORADA,,,
13-07-2025,40489390,,ASPIRADORA KARCHER ROBOT RCV3,4054278965727,ASPIRADORA KARCHER ROBOT RCV3,Portal Temuco,3,793.252,623.316,127,KARCHER,TODA TEMPORADA,,,
21-07-2025,39560917,,ASPIRADORA MANUAL KARCHER VCH2,1.198-400.0,ASPIRADORA MANUAL KARCHER VCH2,Portal Temuco,2,98.303,72.915,135,KARCHER,TODA TEMPORADA,,,
25-07-2025,39560917,,ASPIRADORA MANUAL KARCHER VCH2,1.198-400.0,ASPIRADORA MANUAL KARCHER VCH2,Portal Temuco,2,100.824,72.915,138,KARCHER,TODA TEMPORADA,,,
29-07-2025,39560919,,ASPIRADORA POLVO Y AGUA KARCHER WD1,1.098-322.0,ASPIRADORA POLVO Y AGUA KARCHER WD1,Internet,2,92.429,115.474,80,KARCHER,TODA TEMPORADA,,,
20-07-2025,40104137,,ASPIRADORA CICLONICA KARCHER VC3,4054278991757,ASPIRADORA CICLONICA KARCHER VC3,Portal Temuco,2,193.261,162.408,119,KARCHER,TODA TEMPORADA,,,
24-07-2025,40104138,,ASPIRADORA INALAMBRICA KARCHER VCL3,7891374301601,ASPIRADORA INALAMBRICA KARCHER VCL3,Internet,2,126.034,105.636,119,KARCHER,TODA TEMPORADA,,,
15-07-2025,40104140,,ASPIRADORA TAMBOR KARCHER WD3V,4066529117304,ASPIRADORA TAMBOR KARCHER WD3V,Internet,2,151.244,188.222,80,KARCHER,TODA TEMPORADA,,,
11-07-2025,40104143,,ESCOBA INALAMBRICA KARCHER KB5,4054278974750,ESCOBA INALAMBRICA KARCHER KB5,Internet,2,126.034,112.381,112,KARCHER,TODA TEMPORADA,,,
12-07-2025,40489390,,ASPIRADORA KARCHER ROBOT RCV3,4054278965727,ASPIRADORA KARCHER ROBOT RCV3,Portal Temuco,2,537.798,415.544,129,KARCHER,TODA TEMPORADA,,,
23-07-2025,40489394,,BOLSA DEL FILTRO KARCHER WD3,4054278777689,BOLSA DEL FILTRO KARCHER WD3,Parque Arauco,2,30.235,23.986,126,KARCHER,TODA TEMPORADA,,,
25-07-2025,39272044,,ASPIRADORA DE ARRASTRE VC1 FILTRO HEPA,11980810,Limpiadora a Vapor Karcher SC2 EasyFix,El Trebol,1,21.0,42.222,50,KARCHER,TODA TEMPORADA,,,
05-07-2025,39272044,,ASPIRADORA DE ARRASTRE VC1 FILTRO HEPA,11980810,Limpiadora a Vapor Karcher SC2 EasyFix,El Trebol,1,37.807,42.222,90,KARCHER,TODA TEMPORADA,,,
19-07-2025,39272044,,ASPIRADORA DE ARRASTRE VC1 FILTRO HEPA,11980810,Limpiadora a Vapor Karcher SC2 EasyFix,Portal Temuco,1,37.807,42.222,90,KARCHER,TODA TEMPORADA,,,
29-07-2025,39272044,,ASPIRADORA DE ARRASTRE VC1 FILTRO HEPA,11980810,Limpiadora a Vapor Karcher SC2 EasyFix,Portal Temuco,1,37.807,42.222,90,KARCHER,TODA TEMPORADA,,,
