Cód.Art. Ripley,UPC,Desc.Art. Ripley,Cód.Art.Prov. (Case Pack),Desc.Art.Prov.(Case Pack),Sucursal,Venta (u),Venta ($),Transfer. on Order(u),Transfer. on Order($),Stock on Hand Disponible (u),Stock on Hand Disponible ($),Costo De Venta($),Mark-up,Marca,Temp.
40579991,,ASPIRADORA CICLONICA KARCHER VCL3,4066529095121,ASPIRADORA CICLONICA KARCHER VCL3,Internet,3,176.445,0,0.0,0,0,146.812,120,KARCHER,TODA TEMPORADA
39272044,,ASPIRADORA DE ARRASTRE VC1 FILTRO HEPA,11980810,Limpiadora a Vapor Karcher SC2 EasyFix,El Trebol,2,75.614,0,0.0,1,42.222,84.444,90,KARCHER,TODA TEMPORADA
39560919,,ASPIRADORA POLVO Y AGUA KARCHER WD1,1.098-322.0,ASPIRADORA POLVO Y AGUA KARCHER WD1,Internet,2,142.84,0,0.0,0,0,115.474,124,KARCHER,TODA TEMPORADA
40104142,,ASPIRADORA VERTICAL KARCHER VCL2,7891374301670,ASPIRADORA VERTICAL KARCHER VCL2,Internet,2,100.824,0,0.0,0,0,93.154,108,KARCHER,TODA TEMPORADA
40489389,,ASPIRADORA KARCHER LAVA ALFOMBRAS SE4,4066529034540,ASPIRADORA KARCHER LAVA ALFOMBRAS SE4,Internet,2,504.185,0,0.0,0,0,456.006,111,KARCHER,TODA TEMPORADA
40489389,,ASPIRADORA KARCHER LAVA ALFOMBRAS SE4,4066529034540,ASPIRADORA KARCHER LAVA ALFOMBRAS SE4,Portal Temuco,2,515.53,1,228.003,2,456.006,456.006,113,KARCHER,TODA TEMPORADA
40489396,,SHAMPOO LIMPIEZA TAPIZ KARCHER RM519,4039784712669,SHAMPOO LIMPIEZA TAPIZ KARCHER RM519,Portal Temuco,2,16.794,0,0.0,4,33.586,16.794,100,KARCHER,TODA TEMPORADA
40579991,,ASPIRADORA CICLONICA KARCHER VCL3,4066529095121,ASPIRADORA CICLONICA KARCHER VCL3,Parque Arauco,2,113.428,0,0.0,1,48.937,97.874,116,KARCHER,TODA TEMPORADA
39560917,,ASPIRADORA MANUAL KARCHER VCH2,1.198-400.0,ASPIRADORA MANUAL KARCHER VCH2,Parque Arauco,1,44.529,1,36.457,4,145.829,36.457,122,KARCHER,TODA TEMPORADA
39560917,,ASPIRADORA MANUAL KARCHER VCH2,1.198-400.0,ASPIRADORA MANUAL KARCHER VCH2,El Trebol,1,41.168,2,72.915,2,72.915,36.457,113,KARCHER,TODA TEMPORADA
39560918,,ASPIRADORA POLVO Y AGUA KARCHER WD 3 S,1.628-135.0,ASPIRADORA POLVO Y AGUA KARCHER WD 3 S,Internet,1,109.235,0,0.0,0,0,95.041,115,KARCHER,TODA TEMPORADA
